,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,130.00003557389823,2.5129829754205476e-07,False,Bulk ,9.447476471390222e-06,-2.513498999803556e-07,False
1,A,129.00001597951908,1.8291638531508515e-07,False,Bulk ,1.048224426199e-05,-1.8307371184747674e-07,False
2,A,127.99998711445424,1.3264190469692923e-07,False,Bulk ,6.762673555240663e-06,-1.326758768114479e-07,False
3,A,126.99999533213214,9.585581251391767e-08,False,Bulk ,-2.2985362867654e-06,-9.593231389777205e-08,False
4,A,125.99999427912437,6.898379020916422e-08,False,Bulk ,-8.143575968799083e-06,-6.890401344284656e-08,False
5,A,125.00000249680227,4.938822941023962e-08,False,Bulk ,-1.2953847860234721e-05,-4.9396124404933855e-08,False
6,A,123.99997363173743,3.517784317062534e-08,False,Bulk ,-1.7652252963497317e-05,-3.5028369418492916e-08,False
7,A,122.99998184941535,2.4870395136332733e-08,False,Bulk ,-8.45120963627495e-06,-2.4841990412081478e-08,False
8,A,122.000027149836,1.7442412514466402e-08,False,Bulk ,-1.6553022547704035e-06,-1.73575997295325e-08,False
9,A,121.00001682614254,1.2132152201604077e-08,False,Bulk ,5.0007716415169726e-06,-1.2161206489697131e-08,False
10,A,120.00001577313475,8.364999986078523e-09,False,Bulk ,9.05594271278544e-06,-8.332177659672186e-09,False
11,A,119.00000544944129,5.700623092115074e-09,False,Bulk ,5.69993906759849e-06,-5.8055892696078745e-09,False
12,A,118.00001366711919,3.86563153748803e-09,False,Bulk ,1.048224426199e-05,-3.860840956338376e-09,False
13,A,116.99999407274004,2.5900832760006685e-09,False,Bulk ,9.456005702502407e-07,-2.657302807912478e-09,False
14,A,116.00000229041795,1.7269708533261736e-09,False,Bulk ,-1.7392023459001857e-06,-1.6913653460960101e-09,False
15,A,115.00000123741019,1.1243343252051723e-09,False,Bulk ,-2.6900700453701826e-06,-1.1942544539764556e-09,False
16,A,114.00000945508809,7.499511622031311e-10,False,Bulk ,-1.2897914466147332e-05,-6.427411123831615e-10,False
17,A,113.000017672766,4.81325600672032e-10,False,Bulk ,-1.0045311367738209e-05,-4.555818322823744e-10,False
18,A,111.99997953701548,3.090541787146282e-10,False,Bulk ,-2.3265029838077933e-06,-2.221897538233549e-10,False
19,A,110.99999702537906,1.9702760264553262e-10,False,Bulk ,-1.1080079158337988e-05,-1.7211969509268808e-10,False
20,A,110.00000524305696,9.847932196247662e-11,False,Bulk ,5.923672643943709e-06,-1.9310084454840697e-11,False
21,A,109.00004127279195,5.4659189521345534e-11,False,Bulk ,5.336372006036101e-06,-1.2081181043542717e-10,False
22,A,107.99997532498436,1.3660095649389143e-11,False,Bulk ,1.3390780754486513e-05,-2.7108387792374872e-11,False
23,A,107.00002062540501,1.7797618884174947e-11,False,Bulk ,2.3998688164971957e-06,-1.0762896431721598e-10,False
24,A,106.00001957239724,1.547809828285478e-11,False,Bulk ,3.1829363337076283e-06,-9.469368338432228e-12,False
25,A,104.9999907073324,1.6919962440432003e-11,False,Bulk ,1.0295006613791555e-06,-1.112186595043362e-10,False
26,A,103.9999989250103,1.3095887935554866e-11,False,Bulk ,-9.002014346032317e-07,2.141438853005264e-11,False
27,A,103.00003495474527,2.525769865598336e-11,False,Bulk ,-1.359708189222885e-05,-3.385453909230473e-11,False
28,A,102.00001536036612,1.8800654819880697e-11,False,Bulk ,-7.36050845158865e-06,5.526892762235737e-11,False
29,A,100.99998649530129,2.099479592923475e-11,False,Bulk ,-1.292588116319146e-05,-1.7948475935601093e-12,False
30,A,99.99998544229351,4.820841465986566e-12,False,Bulk ,-8.087642574713429e-06,1.2353502747393285e-10,False
31,A,99.0000029306571,7.955328765063312e-12,False,Bulk ,-3.836704624142137e-06,-7.241281670564848e-12,False
32,A,97.99998333627795,-5.836415350884957e-12,False,Bulk ,6.091472826203273e-06,5.7682688179211215e-11,False
33,A,96.99998228327016,-1.1346844022648753e-12,False,Bulk ,1.9524016638058916e-06,-5.044140650864306e-11,False
34,A,96.00000904231946,-1.3171115630730564e-11,False,Bulk ,8.580508863050874e-06,2.4570844642862278e-11,False
35,A,95.00001725999736,-1.4481331321735425e-12,False,Bulk ,2.7075024839730635e-06,-6.108670947733835e-11,False
36,A,94.00000693630389,2.1251823887746754e-12,False,Bulk ,4.497371094739147e-06,1.0273955190719049e-11,False
37,A,93.00003369535317,8.644915970860394e-12,False,Bulk ,4.133804033177625e-06,-6.517153503509356e-11,False
38,A,91.99999555960265,1.4412372601165974e-11,False,Bulk ,-1.0959683139060566e-06,5.0131950026997844e-11,False
39,A,90.99999450659487,1.2030162253866059e-11,False,Bulk ,-6.493540843249303e-06,-3.824882113170846e-11,False
40,A,90.00000272427278,-1.1973741482479323e-12,False,Bulk ,-4.983339202914959e-06,8.571944541653496e-11,False
