,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,130.0000633859553,1.5015077461111072e-07,False,Bulk ,5.364338703079362e-06,-1.50162581785124e-07,False
1,A,129.00002525020474,1.1183028820545381e-07,False,Bulk ,2.2256223717188883e-05,-1.119794892101174e-07,False
2,A,127.99999638513992,8.329422928336512e-08,False,Bulk ,1.3558580936746077e-05,-8.33639245695223e-08,False
3,A,126.99997679076075,6.19108823085376e-08,False,Bulk ,9.783076835910218e-06,-6.20631065682367e-08,False
4,A,125.9999664670673,4.589440448719379e-08,False,Bulk ,-3.081603803974965e-06,-4.590044209694027e-08,False
5,A,124.99999322611657,3.38943960011443e-08,False,Bulk ,-7.835942301324082e-06,-3.391073638937253e-08,False
6,A,124.00000144379449,2.4931078810442912e-08,False,Bulk ,-1.812768681323188e-05,-2.483883395596866e-08,False
7,A,122.99998184941535,1.8230673380438884e-08,False,Bulk ,-1.4156415833093197e-05,-1.816843760274693e-08,False
8,A,122.00000860846463,1.3243139879889768e-08,False,Bulk ,-1.3121648042494286e-05,-1.3111733018727524e-08,False
9,A,120.99999828477117,9.558236611092058e-09,False,Bulk ,-1.3756352843386638e-06,-9.514053854382714e-09,False
10,A,119.99995087833494,6.838630050918832e-09,False,Bulk ,5.308405308993708e-06,-6.761624124011603e-09,False
11,A,119.00001472012698,4.8507382058426935e-09,False,Bulk ,1.4341648453955642e-05,-4.906680081716391e-09,False
12,A,118.00001366711919,3.40210355570017e-09,False,Bulk ,2.082992216798432e-05,-3.4727206370552936e-09,False
13,A,117.00001261411141,2.392673265904651e-09,False,Bulk ,1.3446714148573034e-05,-2.5104966530186047e-09,False
14,A,115.99999301973227,1.6675409741356286e-09,False,Bulk ,7.405907587235659e-06,-1.7319041451919137e-09,False
15,A,114.99998269603881,1.1692828730739687e-09,False,Bulk ,3.9100704568315395e-06,-1.2597973367895287e-09,False
16,A,114.0000001844024,8.221697495739219e-10,False,Bulk ,-7.500341936805821e-06,-7.616342926323698e-10,False
17,A,113.000017672766,5.548606727084339e-10,False,Bulk ,-1.2814014375018418e-05,-5.336886482503617e-10,False
18,A,112.00001661975821,3.8001897116578437e-10,False,Bulk ,-1.9526021665392315e-05,-2.496694893937093e-10,False
19,A,111.00001556675045,2.5614403310616894e-10,False,Bulk ,-1.734461929602058e-05,-1.8505497602558178e-10,False
20,A,109.99996816031422,1.4963415468345e-10,False,Bulk ,-6.913041298897346e-06,-5.068897169396386e-11,False
21,A,109.00001346073488,8.869972158934804e-11,False,Bulk ,-3.4086749373888475e-07,-6.90706867038623e-11,False
22,A,107.99997532498436,4.0365927437546045e-11,False,Bulk ,1.2999246995880863e-05,-1.4234998155812201e-11,False
23,A,106.99999281334794,5.823877401689007e-12,False,Bulk ,1.9795154377384543e-05,-8.856644504769277e-11,False
24,A,106.00001030171155,-2.8899972897507646e-12,False,Bulk ,1.848071961635389e-05,-7.990166356154406e-11,False
25,A,104.9999999780181,-2.5765485598420974e-12,False,Bulk ,8.52457546896522e-06,-1.2050235395378195e-10,False
26,A,103.9999989250103,1.554078802883453e-11,False,Bulk ,2.483768907626978e-06,-4.7841972062799436e-11,False
27,A,103.00002568405958,2.845487570104316e-11,False,Bulk ,-5.850306811254306e-06,-6.151994855164893e-11,False
28,A,101.99998754830905,2.8831014176931577e-11,False,Bulk ,-1.1639413099202335e-05,1.7948475935591167e-11,False
29,A,100.99998649530129,3.152667325414016e-11,False,Bulk ,-1.3764882074488415e-05,7.426955559554623e-12,False
30,A,99.99996690092213,2.2624729324757834e-11,False,Bulk ,-1.8575153965923186e-05,1.1115676820800847e-10,False
31,A,99.00003074271416,1.2406300729754474e-11,False,Bulk ,-1.2869947769104939e-05,6.541910022041436e-11,False
32,A,97.99998333627795,-5.899105096868014e-12,False,Bulk ,-2.7180367424134433e-06,8.609079319451121e-11,False
33,A,97.0000379073843,-2.025505692665056e-11,False,Bulk ,1.0398344170860219e-05,3.094564816485229e-13,False
34,A,96.0000368543765,-3.479907799437897e-11,False,Bulk ,1.2104312690497387e-05,1.999088871446877e-11,False
35,A,94.99999871862597,-1.3108425884750815e-11,False,Bulk ,1.6970517976019547e-05,-1.0787652950253678e-10,False
36,A,93.99999766561821,-2.5709064827047472e-11,False,Bulk ,1.596371688246303e-05,-7.625007707809943e-11,False
37,A,92.99998734192475,-2.9526870357338215e-12,False,Bulk ,6.427073190721534e-06,-1.1746968043362775e-10,False
38,A,92.00000483028833,1.8612585581934835e-11,False,Bulk ,-5.179106082216917e-06,-2.4447062050200222e-11,False
39,A,90.9999759652235,1.6606513710523335e-11,False,Bulk ,-9.82157779139299e-06,-4.047690779957253e-11,False
40,A,89.99997491221572,3.44104015692946e-11,False,Bulk ,-1.493948335030363e-05,5.5949731881982134e-11,False
