,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,129.9999799497841,6.736789931674282e-08,False,Bulk ,1.0733944535379347e-05,-6.742741089501435e-08,False
1,A,128.99995108471927,5.016808985025057e-08,False,Bulk ,2.120201846065456e-06,-5.0243230577797446e-08,False
2,A,128.00003346788264,3.727005075301484e-08,False,Bulk ,-2.354469680851054e-06,-3.7264625737474946e-08,False
3,A,127.0000231441892,2.7614074558962894e-08,False,Bulk ,-9.346143941658426e-06,-2.763774404988333e-08,False
4,A,126.00004990323848,2.0383000429224726e-08,False,Bulk ,-8.758843303750818e-06,-2.0292856349261326e-08,False
5,A,125.00003957954502,1.4978329358914127e-08,False,Bulk ,-1.261824749571646e-05,-1.4944024846566092e-08,False
6,A,123.99999217310881,1.0938476748368668e-08,False,Bulk ,-6.074040387600392e-06,-1.0846202116581576e-08,False
7,A,123.00000039078672,7.950056557426395e-09,False,Bulk ,-7.556275330891475e-06,-7.917320300374701e-09,False
8,A,122.0000178791503,5.735541280626818e-09,False,Bulk ,7.863296190915858e-08,-5.680011829355061e-09,False
9,A,121.00000755545685,4.096768630922143e-09,False,Bulk ,1.5208616062295857e-05,-4.1738871331736254e-09,False
10,A,120.00001577313475,2.915443057645109e-09,False,Bulk ,1.4006048089436514e-05,-2.9439214012149707e-09,False
11,A,119.00004253218403,2.0569696761732495e-09,False,Bulk ,5.112638429690883e-06,-2.145214222081152e-09,False
12,A,117.99995804300508,1.4416698193639685e-09,False,Bulk ,1.0258510685644782e-05,-1.485391111911014e-09,False
13,A,117.00000334342573,1.0076060181874567e-09,False,Bulk ,-1.0400349198195352e-06,-1.0551847111237854e-09,False
14,A,115.99998374904658,6.963514293888748e-10,False,Bulk ,-8.17154266584321e-06,-6.373565696024845e-10,False
15,A,114.99999196672448,4.821405673697919e-10,False,Bulk ,-1.7596319569409928e-05,-4.6276122265661153e-10,False
16,A,113.99998164303102,3.172038456922337e-10,False,Bulk ,-1.0017344670695816e-05,-2.2670781845541737e-10,False
17,A,112.99998986070894,2.1483149050430058e-10,False,Bulk ,-5.766406720124524e-06,-1.7861828120730044e-10,False
18,A,112.00002589044391,1.4066952100808462e-10,False,Bulk ,-4.0884048975314835e-06,-1.7639019453942644e-11,False
19,A,110.99997848400768,8.788475489158815e-11,False,Bulk ,2.7075024839730635e-06,-8.937103189997628e-11,False
20,A,110.00000524305696,4.224661981699143e-11,False,Bulk ,1.6858651187846505e-05,-4.734684169216114e-11,False
21,A,108.99994856593506,1.654382396454028e-11,False,Bulk ,1.8676486495656716e-05,-1.4581589415259672e-10,False
22,A,107.99999386635574,2.1872452372977694e-11,False,Bulk ,1.2551779843189559e-05,-5.780647077186996e-11,False
23,A,106.99998354266228,1.1654023777977644e-11,False,Bulk ,8.720342348267178e-06,-1.4903424156173738e-10,False
24,A,105.99999176034018,2.1433624151106222e-11,False,Bulk ,-1.9629359222462714e-06,-9.469368338432228e-12,False
25,A,104.99997216596103,2.350238576849747e-11,False,Bulk ,-1.2366547222327114e-05,-5.799214466085974e-11,False
26,A,103.99997111295323,2.2311280594845858e-11,False,Bulk ,-1.2590280798672332e-05,5.861105762415678e-11,False
27,A,103.00000714268822,1.9866380501566195e-11,False,Bulk ,-1.7484452781237753e-05,3.2740495758372695e-11,False
28,A,102.00000608968043,1.3095887935554866e-11,False,Bulk ,-1.5331017108908412e-05,1.371511126664513e-10,False
29,A,100.99998649530129,6.074636385617926e-12,False,Bulk ,-8.17154266584321e-06,2.3951931679565232e-11,False
30,A,100.00000398366487,-1.0099318077633566e-11,False,Bulk ,5.476205491252405e-06,8.819509726971653e-11,False
31,A,99.00001220134278,-6.400623064719234e-12,False,Bulk ,5.7838391587282725e-06,-2.314734482727841e-11,False
32,A,97.99996479490657,-1.9063951753002257e-11,False,Bulk ,1.7921385675489544e-05,-4.703738521052254e-12,False
33,A,97.0000379073843,-4.2064819553651815e-12,False,Bulk ,1.0230543988601522e-05,-1.0032579135032341e-10,False
34,A,95.99998123026239,-4.331861447327987e-12,False,Bulk ,8.049141619229788e-06,-2.6180018347429303e-11,False
35,A,94.99998017725461,-2.7019280518082112e-12,False,Bulk ,2.4278355135404564e-06,-7.56930554111301e-11,False
36,A,94.00002547767527,8.895674954789313e-12,False,Bulk ,-4.396038565007351e-06,3.7629908168411416e-11,False
37,A,92.99996880055338,-1.1346844022648753e-12,False,Bulk ,-5.3189395674340875e-06,-3.880584279867448e-11,False
38,A,91.99999555960265,8.832985208806256e-12,False,Bulk ,-5.738440023082131e-06,5.5516492807674864e-11,False
39,A,90.99999450659487,9.271813430677729e-12,False,Bulk ,-1.2338580525283853e-05,2.1661953715363516e-12,False
40,A,89.99999345358708,1.874423404849065e-12,False,Bulk ,-6.521507540291696e-06,1.0410116042643009e-10,False
