,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,125.72750101472415,9.999927810972404e-07,True,Bulk ,0.23451708199140917,-9.999980370342542e-07,True
1,A,125.79127406156555,9.999687709245294e-07,True,Bulk ,0.23699747631887005,-9.999940759912892e-07,True
2,A,125.80785931825973,9.995219811049185e-07,True,Bulk ,0.19522099207587865,-9.99983368797024e-07,True
3,A,125.67320260865495,9.950688149991164e-07,True,Bulk ,0.015509821512498141,-9.943083082713754e-07,True
4,A,125.59546790916882,9.58687510505908e-07,True,Bulk ,0.00020552198944146036,-9.586430774136506e-07,True
5,A,124.99003650968866,7.809383839241265e-07,True,Bulk ,-2.6825329593675555e-05,-7.809884436902032e-07,False
6,A,124.00003852653725,5.631393489142941e-07,False,Bulk ,6.958440434543488e-06,-5.632382763351638e-07,False
7,A,122.99999112010103,4.027170412243637e-07,False,Bulk ,1.565608321498803e-05,-4.0281882135710895e-07,False
8,A,121.99999006709325,2.8648830879237515e-07,False,Bulk ,1.120937838511478e-05,-2.866520146025144e-07,False
9,A,120.99998901408547,2.0253413828408723e-07,False,Bulk ,6.678773464110881e-06,-2.026179310763349e-07,False
10,A,119.99997869039201,1.421837855532947e-07,False,Bulk ,1.3456635599568e-07,-1.4226692343846464e-07,False
11,A,118.99999617875561,9.903211387356675e-08,False,Bulk ,-9.849544488436252e-06,-9.89578699188458e-08,False
12,A,117.99995804300508,6.83052990884055e-08,False,Bulk ,-4.451971959093005e-06,-6.833356136457639e-08,False
13,A,116.99998480205436,4.67207180289771e-08,False,Bulk ,-1.2282647131197331e-05,-4.657623316156345e-08,False
14,A,115.99998374904658,3.1598446744314644e-08,False,Bulk ,-1.2058913554851246e-05,-3.15393094792066e-08,False
15,A,115.00001977878155,2.114700036350233e-08,False,Bulk ,-5.906240205341695e-06,-2.099396095408333e-08,False
16,A,114.00000945508809,1.3934231639590788e-08,False,Bulk ,1.6168012992876304e-06,-1.3939652889728926e-08,False
17,A,113.00004548482305,9.04813014803988e-09,False,Bulk ,1.2356012963886734e-05,-9.074006737479077e-09,False
18,A,112.00001661975821,5.815157258023434e-09,False,Bulk ,1.395011469535086e-05,-5.934632622455143e-09,False
19,A,110.99999702537906,3.669036494089771e-09,False,Bulk ,1.4509448636215207e-05,-3.79771183408216e-09,False
20,A,109.99998670168559,2.3184486066624505e-09,False,Bulk ,6.650806767068487e-06,-2.464449528549362e-09,False
21,A,109.00001346073488,1.4263735213444633e-09,False,Bulk ,7.098273919759791e-06,-1.4853292206146863e-09,False
22,A,107.99996605429867,9.02600693668298e-10,False,Bulk ,-4.228238382747787e-06,-1.010437303877468e-09,False
23,A,106.99998354266228,5.698435219980338e-10,False,Bulk ,-1.3680981983358632e-05,-4.904885234122834e-10,False
24,A,105.99997321896879,3.9299574858397275e-10,False,Bulk ,-1.527508371482276e-05,-3.196685455425139e-10,False
25,A,104.9999907073324,2.409731145786232e-10,False,Bulk ,-1.496745004734689e-05,-1.008209217209584e-10,False
26,A,104.00002673706737,1.4900725722363598e-10,False,Bulk ,-8.70290990966343e-06,-9.24655967164582e-11,False
27,A,103.00005349611665,7.603639290106833e-11,False,Bulk ,-1.8510691340732285e-06,1.0273955190719049e-11,False
28,A,101.99999681899475,-1.1346844022648753e-12,False,Bulk ,8.496608771921092e-06,-8.466729337892734e-11,False
29,A,101.00001430735834,-2.5959823810973082e-11,False,Bulk ,1.115344499102739e-05,-2.846999631162771e-11,False
30,A,100.00002252503624,-5.3417932550910123e-11,False,Bulk ,1.6439150732197594e-05,-1.4445428563334388e-10,False
31,A,98.99999365997141,-3.7682806309530103e-11,False,Bulk ,1.1600912143719562e-05,-6.343857873786448e-11,False
32,A,97.99999260696364,-6.331664344136548e-13,False,Bulk ,3.043102848492192e-06,-1.0905246413279984e-10,False
33,A,96.99997301258449,-8.839254183392651e-13,False,Bulk ,4.981334175580693e-07,-1.7577128157611616e-11,False
34,A,95.9999719595767,3.654185293266891e-11,False,Bulk ,-5.430806355606263e-06,-6.572855670206288e-11,False
35,A,95.00001725999736,8.612944200410557e-11,False,Bulk ,-1.3065714648406897e-05,5.669242743793793e-11,False
36,A,93.99999766561821,4.544379686205454e-11,False,Bulk ,-8.45120963627495e-06,-1.070719426502301e-11,False
37,A,93.00002442466749,3.704337090052013e-11,False,Bulk ,-1.2030946857807985e-05,8.47910759715894e-11,False
38,A,91.99999555960265,2.024251897745461e-11,False,Bulk ,-2.913803621715401e-06,-2.1600062419039105e-11,False
39,A,91.00002231865194,-2.025505692665056e-11,False,Bulk ,6.119439523246534e-06,5.304084095448999e-11,False
40,A,90.00003980701553,-2.476871863732478e-11,False,Bulk ,9.391543077304568e-06,-6.480018725711732e-11,False
