,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,124.67076336531147,9.999468922031818e-07,True,Bulk ,0.10368588078660586,-9.99957250669973e-07,True
1,A,124.92393652073982,9.999515939341304e-07,True,Bulk ,0.10193689948691648,-9.999461721279299e-07,True
2,A,125.17133403898512,9.998786857595537e-07,True,Bulk ,0.10168891878423418,-9.999460483453374e-07,True
3,A,125.33584235650227,9.982043053341315e-07,True,Bulk ,0.032804063396968654,-9.973924134587768e-07,True
4,A,125.4360306567225,9.702906928998941e-07,True,Bulk ,0.003813757275261669,-9.700559562394263e-07,True
5,A,124.98074728263022,8.080101984493233e-07,True,Bulk ,-3.409667082491467e-05,-8.080168060364251e-07,False
6,A,123.99999217310881,5.853895070068091e-07,True,Bulk ,-1.4743716471000805e-05,-5.854576849565738e-07,False
7,A,123.00002820284378,4.2412270574876064e-07,False,Bulk ,4.60923788291219e-06,-4.2418901950158007e-07,False
8,A,122.000027149836,3.0779084868463236e-07,False,Bulk ,8.69237565122305e-06,-3.079445391700919e-07,False
9,A,120.9999612020284,2.2322570391200794e-07,False,Bulk ,8.636442257137396e-06,-2.233143186776654e-07,False
10,A,120.00000650244907,1.6148464185635985e-07,False,Bulk ,1.8964682697193702e-06,-1.6159483258665077e-07,False
11,A,118.99998690806991,1.1632407726665196e-07,False,Bulk ,-7.324012523436674e-07,-1.1632116364764063e-07,False
12,A,117.99998585506214,8.333428803104735e-08,False,Bulk ,-8.758843303750818e-06,-8.336615265619018e-08,False
13,A,117.00001261411141,5.935082115188751e-08,False,Bulk ,-1.3401315012926025e-05,-5.924686691134974e-08,False
14,A,116.00000229041795,4.193692620286813e-08,False,Bulk ,-1.1863146675549288e-05,-4.1884068312925544e-08,False
15,A,114.99997342535312,2.9399165075788594e-08,False,Bulk ,-1.1219912643554292e-05,-2.9273283446690012e-08,False
16,A,114.00003726714513,2.0406321014729874e-08,False,Bulk ,-3.7248378359699616e-06,-2.037956605541913e-08,False
17,A,113.00002694345167,1.4022624181424826e-08,False,Bulk ,5.39230540012349e-06,-1.3987247296606408e-08,False
18,A,112.00002589044391,9.545573282403777e-09,False,Bulk ,8.888142530525875e-06,-9.626757904998962e-09,False
19,A,110.99997848400768,6.42349855302876e-09,False,Bulk ,1.951548740695367e-05,-6.4926445501630495e-09,False
20,A,109.9999959723713,4.270795365767029e-09,False,Bulk ,1.2020412599367605e-05,-4.422133122751751e-09,False
21,A,109.00001346073488,2.853192139885391e-09,False,Bulk ,4.469404397696754e-06,-2.8966364508191406e-09,False
22,A,107.99998459567004,1.8711572690838264e-09,False,Bulk ,-3.6968711389258335e-06,-1.95198959494006e-09,False
23,A,107.00000208403364,1.2354205550845453e-09,False,Bulk ,-9.485977426873862e-06,-1.177791369152776e-09,False
24,A,105.99997321896879,8.313851422332162e-10,False,Bulk ,-1.7484452781237753e-05,-7.927037233898411e-10,False
25,A,104.9999814366467,5.3611643865994e-10,False,Bulk ,-1.2478414010499289e-05,-3.953616009536473e-10,False
26,A,103.9999989250103,3.3638690796260245e-10,False,Bulk ,-9.681744306177555e-06,-3.0159628701426396e-10,False
27,A,103.00000714268822,1.9351697687056415e-10,False,Bulk ,-3.6968711389258335e-06,-1.0738139913189848e-10,False
28,A,101.99999681899475,1.1120534039673939e-10,False,Bulk ,1.365101025898284e-06,-1.2588689673445567e-10,False
29,A,101.00003284872973,4.958132009683704e-11,False,Bulk ,1.3474680845616295e-05,-6.133427466265915e-11,False
30,A,100.00000398366487,7.453810797212091e-12,False,Bulk ,1.4397581848043031e-05,-1.3653219970315427e-10,False
31,A,98.99997511860003,-1.3547254106622288e-11,False,Bulk ,1.0398344170860219e-05,-5.8920514105802e-11,False
32,A,98.00002968970638,-1.8687813277110533e-11,False,Bulk ,9.307642986174786e-06,-1.3263304803438883e-10,False
33,A,97.0000286366986,4.319323498132037e-12,False,Bulk ,1.7846014815463274e-06,-2.4013822975892952e-11,False
34,A,96.00001831300514,1.8361826598005916e-11,False,Bulk ,-5.59860653786496e-06,-5.582594928932008e-11,False
35,A,94.99999871862597,1.8549895835951778e-11,False,Bulk ,-1.0800412187905381e-05,5.836349243883929e-11,False
36,A,93.99998839493252,5.396960231554845e-11,False,Bulk ,-1.496745004734689e-05,1.1449889820982112e-11,False
37,A,93.00001515398179,5.2590427903954286e-11,False,Bulk ,-1.396064895379124e-05,8.076814171016191e-11,False
38,A,91.99999555960265,1.9929070247545943e-11,False,Bulk ,-6.577440934379085e-06,9.964498709070526e-12,False
39,A,91.00005013070898,-1.4174151566436313e-11,False,Bulk ,3.714303577529582e-06,5.0070058730670125e-11,False
40,A,90.00002126564415,-1.749670810345892e-11,False,Bulk ,-5.08667675998449e-07,-5.198868891687244e-12,False
