,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,129.99998922046979,6.625208452801656e-08,False,Bulk ,1.2812009347685019e-06,-6.62189833341784e-08,False
1,A,128.99994181403358,4.932253055645091e-08,False,Bulk ,1.940362061877976e-05,-4.9411102098645633e-08,False
2,A,127.99998711445424,3.6740635848200335e-08,False,Bulk ,1.1572945446676301e-05,-3.678125471314057e-08,False
3,A,126.99997679076075,2.73181789579298e-08,False,Bulk ,9.307642986174786e-06,-2.7435854641256088e-08,False
4,A,126.00004990323848,2.0253483414026764e-08,False,Bulk ,6.37113979663588e-06,-2.0288833414999902e-08,False
5,A,125.00001176748796,1.49726245920298e-08,False,Bulk ,1.0659965895328666e-07,-1.5010372316231452e-08,False
6,A,123.99999217310881,1.1009943058787679e-08,False,Bulk ,-8.03170918062604e-06,-1.0966828253128017e-08,False
7,A,123.00002820284378,8.037947581292581e-09,False,Bulk ,-1.0912278976079291e-05,-8.016408265798434e-09,False
8,A,122.0000178791503,5.83076700477285e-09,False,Bulk ,-7.556275330891475e-06,-5.765607492178934e-09,False
9,A,121.00000755545685,4.204845752994397e-09,False,Bulk ,-5.878273508297567e-06,-4.166088829836091e-09,False
10,A,120.00002504382044,3.007722363730005e-09,False,Bulk ,-1.9629359222462714e-06,-2.945716248808534e-09,False
11,A,119.00003326149836,2.132510820081063e-09,False,Bulk ,1.9803683608491524e-06,-2.1311648978143297e-09,False
12,A,118.00000439643352,1.490505131483625e-09,False,Bulk ,1.2971280298837602e-05,-1.525001541561972e-09,False
13,A,116.9999569899973,1.0553129148794446e-09,False,Bulk ,3.686336880486321e-06,-1.1063069218920565e-09,False
14,A,115.99995593698952,7.234960893989031e-10,False,Bulk ,7.657607860624138e-06,-7.689993568955967e-10,False
15,A,115.00001050809585,4.949292755500344e-10,False,Bulk ,5.895705946901315e-06,-5.542365586317964e-10,False
16,A,113.99997237234533,3.4691878528750786e-10,False,Bulk ,-4.92740580882757e-06,-3.374313475891186e-10,False
17,A,112.99996204865187,2.483078148584688e-10,False,Bulk ,-1.5526783988211237e-05,-2.364247519791704e-10,False
18,A,112.00000734907253,1.77029573677404e-10,False,Bulk ,-1.7848019842799275e-05,-8.825698856604425e-11,False
19,A,111.00000629606475,1.0807085309765934e-10,False,Bulk ,-1.1723313190332117e-05,-8.441972819360984e-11,False
20,A,110.00000524305696,7.095852347655983e-11,False,Bulk ,-2.9417703187586616e-06,-2.500408371716624e-11,False
21,A,109.00003200210627,4.400193270447732e-11,False,Bulk ,-2.1866694985914897e-06,-1.2811498340231643e-11,False
22,A,107.99999386635574,1.0650987842271894e-11,False,Bulk ,7.126240616803052e-06,2.667514871807091e-11,False
23,A,107.00001135471932,5.134290195891925e-12,False,Bulk ,2.763435878059585e-06,-3.304995224001791e-11,False
24,A,105.99999176034018,-7.340969254445236e-12,False,Bulk ,1.3726381119004774e-05,-3.954853835463027e-11,False
25,A,104.9999999780181,-2.200410083953682e-12,False,Bulk ,1.4089948180566296e-05,-9.877850894208079e-11,False
26,A,103.9999989250103,1.0212159620400422e-11,False,Bulk ,4.077870639091104e-06,-2.054791038143479e-11,False
27,A,103.00000714268822,-4.4509719646779277e-13,False,Bulk ,5.084671732646755e-06,-6.189129632962517e-11,False
28,A,101.99997827762338,4.068564514206427e-12,False,Bulk ,-5.906240205341695e-06,9.221803153114733e-12,False
29,A,100.99999576598697,7.704569781137702e-12,False,Bulk ,-4.871472414741916e-06,-2.8593778904286458e-11,False
30,A,100.00003179572194,2.3941213990368942e-11,False,Bulk ,-1.9218387997917315e-05,8.516242374956564e-11,False
31,A,99.00001220134278,1.2155541745828864e-11,False,Bulk ,-7.108808178199304e-06,4.134338594819038e-11,False
32,A,97.99999260696364,-3.516894749568099e-12,False,Bulk ,-5.71047332603887e-06,9.59934006072507e-11,False
33,A,96.99997301258449,3.3162875624262872e-12,False,Bulk ,-3.4451708655373545e-06,2.99553874235393e-11,False
34,A,95.9999719595767,-8.155935952201815e-12,False,Bulk ,-2.1866694985914897e-06,3.738234298309392e-11,False
35,A,95.00001725999736,-3.642274241530904e-12,False,Bulk ,4.497371094739147e-06,-1.2130694080606878e-11,False
36,A,94.00004401904665,-6.4633128106989825e-12,False,Bulk ,6.706740161154141e-06,-1.1140433339320355e-12,False
37,A,92.99999661261043,-1.7615818620822097e-12,False,Bulk ,4.077870639091104e-06,-5.4154884288422024e-11,False
38,A,92.00002337165971,-4.0184127174193194e-12,False,Bulk ,9.47544316843435e-06,-3.478290853724699e-11,False
39,A,91.00002231865194,-9.221661633890621e-12,False,Bulk ,1.924434966762631e-06,-3.1007539461140305e-11,False
40,A,90.00003053632985,-1.6362023701194046e-12,False,Bulk ,-2.6900700453701826e-06,2.6922713903388405e-11,False
