,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,130.0000448445839,8.885180064412481e-08,False,Bulk ,1.3782314513091296e-05,-8.890981795973107e-08,False
1,A,128.999988167462,6.549422818884515e-08,False,Bulk ,1.1265311779200433e-05,-6.55222730113958e-08,False
2,A,128.00002419719698,4.8268089029040615e-08,False,Bulk ,1.7194251552364766e-05,-4.837955986271976e-08,False
3,A,126.99997679076075,3.551273179365898e-08,False,Bulk ,6.5389399788954444e-06,-3.55627388710029e-08,False
4,A,126.0000313618671,2.6047708565866947e-08,False,Bulk ,1.8685015726761095e-06,-2.6144183286856794e-08,False
5,A,125.00005812091639,1.9042693660138385e-08,False,Bulk ,-1.0576678611560163e-05,-1.899988527763912e-08,False
6,A,123.99999217310881,1.3848534756833958e-08,False,Bulk ,-1.4547949591698847e-05,-1.3821626187628329e-08,False
7,A,122.99998184941535,1.0011232715555008e-08,False,Bulk ,-1.670138526402732e-05,-9.896975304774109e-09,False
8,A,122.000027149836,7.186056623148789e-09,False,Bulk ,-2.008535560625753e-05,-7.1028308406768314e-09,False
9,A,121.00001682614254,5.124567016290267e-09,False,Bulk ,-6.68930772255126e-06,-5.001311873804389e-09,False
10,A,120.00001577313475,3.61261572270634e-09,False,Bulk ,-6.120052330627762e-08,-3.6025685767548524e-09,False
11,A,118.99999617875561,2.535417817504725e-09,False,Bulk ,9.811043532952611e-06,-2.4852450041161177e-09,False
12,A,117.99998585506214,1.7448374309309246e-09,False,Bulk ,1.8956153466088456e-05,-1.8458460217347523e-09,False
13,A,117.00000334342573,1.2015054025085055e-09,False,Bulk ,1.9543454103996064e-05,-1.2612827279014403e-09,False
14,A,115.9999744783609,8.25304236873002e-10,False,Bulk ,1.1349211870330216e-05,-9.458227905093404e-10,False
15,A,115.00001050809585,5.550487419463765e-10,False,Bulk ,4.245670821349801e-06,-5.9000972791032e-10,False
16,A,113.99999091371672,3.8058317887962196e-10,False,Bulk ,-5.374872961519742e-06,-4.4382248597974377e-10,False
17,A,112.99997131933756,2.6028155634095144e-10,False,Bulk ,-1.1303812734684074e-05,-2.0176562603457885e-10,False
18,A,112.00000734907253,1.8003868148452124e-10,False,Bulk ,-1.5442883897081455e-05,-1.36098960628847e-10,False
19,A,110.99997848400768,1.2324177162520177e-10,False,Bulk ,-1.0548711914516902e-05,4.084825557755208e-12,False
20,A,109.9999959723713,7.415570052161963e-11,False,Bulk ,-8.45120963627495e-06,-1.2749607043900615e-11,False
21,A,109.00001346073488,3.8422545312114293e-11,False,Bulk ,1.2532342377252412e-06,5.248381928752397e-11,False
22,A,108.00000313704142,1.3785475141351948e-11,False,Bulk ,8.300841892618267e-06,-3.509236501889882e-11,False
23,A,107.00001135471932,5.635808163746454e-12,False,Bulk ,1.3222980572226949e-05,-1.0521520376010074e-12,False
24,A,106.00001957239724,-1.4362220804382175e-11,False,Bulk ,1.5795916700203465e-05,-1.0651492098328394e-10,False
25,A,104.9999999780181,-1.9496511000280717e-12,False,Bulk ,8.608475560093268e-06,-2.2157084086005123e-11,False
26,A,104.000008195696,-4.896069161162264e-12,False,Bulk ,7.126240616803052e-06,-1.005733565356409e-10,False
27,A,103.00001641337391,1.2845128951629255e-11,False,Bulk ,-3.668904441882573e-06,-2.599434445843622e-12,False
28,A,102.00002463105182,9.836021144512006e-12,False,Bulk ,-5.542673143779306e-06,-4.4437950764668993e-11,False
29,A,100.99999576598697,1.9427552279694723e-11,False,Bulk ,-1.561068407934102e-05,8.064435911750316e-11,False
30,A,99.99997617160783,1.7108031678377865e-11,False,Bulk ,-1.5414917200038195e-05,2.97078222382218e-11,False
31,A,98.99997511860003,3.190908070463482e-12,False,Bulk ,-1.018514485295538e-05,8.776185819540926e-11,False
32,A,97.99999260696364,2.7520798485920098e-12,False,Bulk ,-2.8858369246730076e-06,2.933647446024556e-11,False
33,A,96.99999155395585,-1.2105389949045066e-11,False,Bulk ,5.532138885338926e-06,5.526892762235737e-11,False
34,A,96.00000904231946,-1.2544218170916538e-11,False,Bulk ,1.0985644808768694e-05,-3.3173734832676656e-11,False
35,A,94.99998944794031,-1.3045736138767758e-11,False,Bulk ,9.727143441822829e-06,-1.3492302599859717e-11,False
36,A,93.99999766561821,-1.5051808010179258e-11,False,Bulk ,1.1349211870330216e-05,-9.153722727151595e-11,False
37,A,93.00000588329613,-3.328825511622237e-12,False,Bulk ,9.36357638026044e-06,-3.286427835103144e-11,False
38,A,92.00000483028833,2.7520798485920098e-12,False,Bulk ,1.1413674495521983e-06,-7.649764226341692e-11,False
39,A,90.99999450659487,1.3409336665460224e-11,False,Bulk ,-8.926643486010383e-06,2.7355952977695675e-11,False
40,A,89.99998418290141,1.0588298096292146e-11,False,Bulk ,-1.1275846037640813e-05,-2.4447062050200222e-11,False
