,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,130.0000541152696,2.1152729579387586e-07,False,Bulk ,-9.09444366826908e-06,-2.1153739524687892e-07,False
1,A,128.99997889677633,1.5390143942344313e-07,False,Bulk ,-1.459535375468446e-06,-1.5389530775806004e-07,False
2,A,127.99998711445424,1.1167600874059312e-07,False,Bulk ,-8.39527624218843e-06,-1.1165585962160979e-07,False
3,A,126.99999533213214,8.085804306477465e-08,False,Bulk ,-1.1798684050358388e-06,-8.085318035131838e-08,False
4,A,125.99999427912437,5.840759123384855e-08,False,Bulk ,-3.6129710477969187e-06,-5.8402979085895295e-08,False
5,A,124.9999839554309,4.202519336521021e-08,False,Bulk ,3.582999323417657e-07,-4.2015339752440683e-08,False
6,A,123.99999217310881,3.007985033765667e-08,False,Bulk ,7.498336909474157e-07,-3.008560671101635e-08,False
7,A,122.99999112010103,2.143054608457705e-08,False,Bulk ,1.2252675406819805e-06,-2.1432275114689738e-08,False
8,A,122.00000860846463,1.5178372338341373e-08,False,Bulk ,1.5049345111137202e-06,-1.5180387707248928e-08,False
9,A,121.00001682614254,1.06554325452618e-08,False,Bulk ,1.1413674495521983e-06,-1.0660094988518394e-08,False
10,A,119.99998796107771,7.432364635110446e-09,False,Bulk ,9.176338732061126e-07,-7.450350469567676e-09,False
11,A,118.99996836669854,5.134597375647321e-09,False,Bulk ,1.2812009347685019e-06,-5.143971311844173e-09,False
12,A,117.99999512574783,3.529865258010647e-09,False,Bulk ,-2.8019368335432254e-06,-3.527865782084989e-09,False
13,A,117.00000334342573,2.396685409647471e-09,False,Bulk ,-1.1239350109493174e-06,-2.3775541485025673e-09,False
14,A,116.00000229041795,1.5950089380349325e-09,False,Bulk ,-1.90700252815975e-06,-1.6083691177179809e-09,False
15,A,114.99997342535312,1.0771916362270187e-09,False,Bulk ,-2.849340996523633e-07,-1.045901016674343e-09,False
16,A,113.99998164303102,7.042503373825546e-10,False,Bulk ,-1.459535375468446e-06,-6.898403888900085e-10,False
17,A,112.99998059002324,4.5255100726648055e-10,False,Bulk ,3.4346366070969747e-06,-4.5768613635758304e-10,False
18,A,111.99997953701548,2.9419670891699114e-10,False,Bulk ,-3.6129710477969187e-06,-2.9670687460422524e-10,False
19,A,110.99998775469338,1.830477892916385e-10,False,Bulk ,3.30333235298505e-07,-1.85364432507227e-10,False
20,A,110.00001451374266,1.1596976109133922e-10,False,Bulk ,1.3930677229406774e-06,-1.1963587580516741e-10,False
21,A,109.00001346073488,7.528411594928819e-11,False,Bulk ,2.847335969189367e-06,-8.615268449083893e-11,False
22,A,107.99998459567004,4.7387178987482984e-11,False,Bulk ,8.896671761628519e-07,-5.749701429022144e-11,False
23,A,106.99999281334794,2.901908341487744e-11,False,Bulk ,3.5465033952700176e-06,-2.5189757606156015e-11,False
24,A,106.00001030171155,1.4412372601165974e-11,False,Bulk ,-3.081603803974965e-06,-2.0362236492445014e-11,False
25,A,104.9999814366467,1.9051413803806307e-11,False,Bulk ,-3.1655038951047473e-06,3.0945648164819203e-12,False
26,A,104.00001746638168,5.447738925800592e-12,False,Bulk ,-3.8926380182286585e-06,-1.3677976488846183e-11,False
27,A,103.00002568405958,-3.2034460196594317e-12,False,Bulk ,1.6253305303894072e-07,9.655042227422003e-12,False
28,A,101.99996900693769,-4.958758907142012e-12,False,Bulk ,1.5329012081578483e-06,-1.3430411303528689e-11,False
29,A,100.99999576598697,-9.597800109779037e-12,False,Bulk ,2.875302666232628e-06,-1.4234998155805584e-12,False
30,A,100.00000398366487,-6.895872057937738e-14,False,Bulk ,-1.2358017991214928e-06,-6.869933892588606e-12,False
31,A,99.00001220134278,-2.01234084600782e-12,False,Bulk ,1.3456635599568e-07,-6.0653470403017844e-12,False
32,A,98.00000187764932,1.0462918604326032e-11,False,Bulk ,1.6168012992876304e-06,-2.098114945574206e-11,False
33,A,97.00000082464155,1.1221464530689257e-12,False,Bulk ,-7.603679493869281e-07,1.361608519252839e-12,False
34,A,96.00001831300514,1.1911051736648467e-13,False,Bulk ,-2.6900700453701826e-06,-9.77882482008075e-12,False
35,A,95.00001725999736,-4.081102463399068e-12,False,Bulk ,-1.8790358311164893e-06,8.47910759715894e-12,False
36,A,93.99999766561821,-2.5702795852523944e-13,False,Bulk ,-4.312138473877569e-06,-3.280238705468387e-12,False
37,A,92.99999661261043,1.0713677588251642e-11,False,Bulk ,-6.485011612138852e-07,4.332390743072703e-12,False
38,A,92.00000483028833,5.447738925800592e-12,False,Bulk ,-6.764678582580133e-07,-3.713477779775657e-12,False
39,A,90.99999450659487,7.140362067303424e-12,False,Bulk ,1.1413674495521983e-06,7.179390374237129e-12,False
40,A,90.00003053632985,1.4982849289606498e-12,False,Bulk ,-1.459535375468446e-06,-6.931825188916325e-12,False
