,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,112.45457688036691,9.999384290874743e-07,True,Bulk ,0.09497014355317504,-9.999805836886894e-07,True
1,A,112.75718133187874,9.999372379823005e-07,True,Bulk ,0.09726713228142647,-9.999696289292389e-07,True
2,A,113.05035749604681,9.999450115108022e-07,True,Bulk ,0.0975366753075291,-9.999686386684976e-07,True
3,A,113.33838842965856,9.999391186746801e-07,True,Bulk ,0.09947583014711243,-9.99979036406281e-07,True
4,A,113.61977228163269,9.999408112978215e-07,True,Bulk ,0.10003966672620095,-9.99984854188136e-07,True
5,A,113.89614996333577,9.999334139077956e-07,True,Bulk ,0.10181202818461847,-9.999864014705442e-07,True
6,A,114.16529651020296,9.999413128157894e-07,True,Bulk ,0.10175794059253686,-9.999909814264726e-07,True
7,A,114.43206976153424,9.999334765975418e-07,True,Bulk ,0.10429169537795625,-9.999876392964708e-07,True
8,A,114.69039741820461,9.99938993295188e-07,True,Bulk ,0.10462679234192822,-9.999921573611028e-07,True
9,A,114.9455452296843,9.999413755055353e-07,True,Bulk ,0.10680369207307602,-9.999916622307322e-07,True
10,A,115.19398106472654,9.999485221365773e-07,True,Bulk ,0.10649807200778763,-9.999838020360983e-07,True
11,A,115.43913507703557,9.99949587862259e-07,True,Bulk ,0.10792392608983956,-9.99986030122766e-07,True
12,A,115.6610382096414,9.99779949409633e-07,True,Bulk ,0.09090957490937768,-9.999573744525656e-07,True
13,A,115.79651073958664,9.935980508686425e-07,True,Bulk ,0.014373674445117012,-9.929731892269528e-07,True
14,A,115.77043230074891,9.286714093709399e-07,True,Bulk ,-6.3257406609897385e-06,-9.286977163801171e-07,False
15,A,114.99858282250005,7.029932763271577e-07,True,Bulk ,-3.345343679292054e-05,-7.029604772337397e-07,False
16,A,113.99999091371672,5.034608421911863e-07,False,Bulk ,-1.3401315012926025e-05,-5.033565285060648e-07,False
17,A,113.0000084020803,3.6197510069042193e-07,False,Bulk ,2.4278355135404564e-06,-3.6203419003218283e-07,False
18,A,111.99998880770114,2.601759178499993e-07,False,Bulk ,5.69993906759849e-06,-2.6018339714029775e-07,False
19,A,110.99998775469338,1.8635278643081186e-07,False,Bulk ,1.9962954559644107e-05,-1.8651678655359015e-07,False
20,A,109.9999959723713,1.3276552887600494e-07,False,Bulk ,1.4285715059869121e-05,-1.328936103919355e-07,False
21,A,108.99997637799213,9.396377329044738e-08,False,Bulk ,6.259273008462837e-06,-9.409389483159685e-08,False
22,A,108.00000313704142,6.597976027147254e-08,False,Bulk ,2.3439354224106743e-06,-6.603108135852166e-08,False
23,A,107.00000208403364,4.594555931991477e-08,False,Bulk ,-3.5290709566671366e-06,-4.5999282497178685e-08,False
24,A,105.99999176034018,3.168627507843485e-08,False,Bulk ,-1.3876748862661457e-05,-3.1604419122945364e-08,False
25,A,104.9999907073324,2.1631717479431965e-08,False,Bulk ,-1.7204785810805145e-05,-2.155896659827648e-08,False
26,A,103.9999989250103,1.4598805636741596e-08,False,Bulk ,-1.0297011641127556e-05,-1.4482068210761767e-08,False
27,A,103.00002568405958,9.734645556284246e-09,False,Bulk ,-4.815539020655395e-06,-9.685678419104764e-09,False
28,A,102.0000339017375,6.402309418886983e-09,False,Bulk ,3.9100704568315395e-06,-6.3468286560104495e-09,False
29,A,101.00005139010109,4.132439096385665e-09,False,Bulk ,3.602436789356539e-06,-4.202047673003605e-09,False
30,A,100.00000398366487,2.5856323040359757e-09,False,Bulk ,1.973922098329889e-05,-2.7093533881256914e-09,False
31,A,99.00001220134278,1.648420601611243e-09,False,Bulk ,1.6439150732197594e-05,-1.8198516772763094e-09,False
32,A,98.00003896039206,1.0039073231745423e-09,False,Bulk ,1.3195013875183688e-05,-1.1433798083935053e-09,False
33,A,97.0000379073843,6.436293530183614e-10,False,Bulk ,7.489807678365441e-06,-7.985833965411598e-10,False
34,A,95.99999050094807,4.361889835652865e-10,False,Bulk ,1.8964682697193702e-06,-4.4116116023757243e-10,False
35,A,94.99997090656893,2.6228762821236294e-10,False,Bulk ,-1.1639413099202335e-05,-2.986255047904441e-10,False
36,A,93.99999766561821,1.990336745169408e-10,False,Bulk ,-1.5946284443860148e-05,-9.655042227421672e-11,False
37,A,92.99999661261043,1.7959985326264977e-10,False,Bulk ,-1.5806450958643845e-05,-7.067986040843263e-11,False
38,A,92.00000483028833,1.1622052007526483e-10,False,Bulk ,-1.0548711914516902e-05,2.4632735939189997e-11,False
39,A,91.0000408600233,1.5352718790891975e-11,False,Bulk ,-5.646010700841031e-07,-2.3085453530947383e-11,False
40,A,89.99998418290141,9.647951906566144e-12,False,Bulk ,3.406669910053714e-06,-1.361608519252839e-12,False
