,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,125.19935005113146,9.999328497000818e-07,True,Bulk ,0.10061972398957454,-9.99979407754059e-07,True
1,A,125.50607995777403,9.99926204587008e-07,True,Bulk ,0.10271168886180206,-9.999670913860894e-07,True
2,A,125.77216717836448,9.99735000861764e-07,True,Bulk ,0.0732973796462227,-9.999239531525476e-07,True
3,A,125.95661674079453,9.901585152656166e-07,True,Bulk ,0.007925029540798415,-9.903061075942202e-07,True
4,A,125.85778196068462,9.027418647072738e-07,True,Bulk ,-6.493540843249303e-06,-9.028253596667401e-07,False
5,A,124.99948333840379,6.830069076517839e-07,True,Bulk ,-2.7440596928626423e-05,-6.830103748835517e-07,False
6,A,124.00002925585156,5.03359723630918e-07,False,Bulk ,-9.681744306177555e-06,-5.034221951714706e-07,False
7,A,122.99999112010103,3.7281077252435544e-07,False,Bulk ,-3.5290709566671366e-06,-3.7278767898686267e-07,False
8,A,121.99999006709325,2.765548677826087e-07,False,Bulk ,-3.8926380182286585e-06,-2.766318756180444e-07,False
9,A,120.99999828477117,2.050453014388717e-07,False,Bulk ,-1.3756352843386638e-06,-2.050431415230113e-07,False
10,A,119.99996941970632,1.516506267837202e-07,False,Bulk ,5.540668116437233e-07,-1.5173035021244976e-07,False
11,A,119.00001472012698,1.1175719196163929e-07,False,Bulk ,-6.205344641714919e-07,-1.1177370064982139e-07,False
12,A,117.99998585506214,8.202281854511255e-08,False,Bulk ,-3.6883419078214547e-07,-8.207268645419733e-08,False
13,A,117.00000334342573,5.983854737562427e-08,False,Bulk ,-4.3401051709199626e-06,-5.980339344794574e-08,False
14,A,115.9999744783609,4.334606631304226e-08,False,Bulk ,8.057670850330698e-07,-4.3409255528376506e-08,False
15,A,115.00001977878155,3.1215036257891254e-08,False,Bulk ,1.3371343288550233e-06,-3.119240876327905e-08,False
16,A,114.00001872577377,2.229773334074035e-08,False,Bulk ,7.014373828630009e-06,-2.238824807779714e-08,False
17,A,112.99997131933756,1.5796367854227863e-08,False,Bulk ,7.863296190915858e-08,-1.5773553891272068e-08,False
18,A,112.00002589044391,1.1088054482280735e-08,False,Bulk ,2.269956782350452e-08,-1.117620650861114e-08,False
19,A,110.99999702537906,7.727696028429703e-09,False,Bulk ,3.2388697277941497e-06,-7.714750087487836e-09,False
20,A,110.00000524305696,5.360155081689073e-09,False,Bulk ,-1.263768496165621e-06,-5.416602472176174e-09,False
21,A,108.9999949193635,3.666340835012561e-09,False,Bulk ,-8.163013434734495e-07,-3.621259748246396e-09,False
22,A,108.00000313704142,2.469969722699947e-09,False,Bulk ,-1.4036019813810571e-06,-2.512662848390141e-09,False
23,A,107.00002062540501,1.6772578847627742e-09,False,Bulk ,-7.883346464310562e-07,-1.6394385484754522e-09,False
24,A,106.0000381137686,1.09731504468711e-09,False,Bulk ,-1.0400349198195352e-06,-1.155881850252085e-09,False
25,A,105.00000924870376,7.194839456560801e-10,False,Bulk ,-4.527342819119276e-07,-6.655171094324637e-10,False
26,A,104.000008195696,4.732386234404063e-10,False,Bulk ,2.735469181015457e-06,-5.317081267678118e-10,False
27,A,103.00000714268822,2.920025678076371e-10,False,Bulk ,2.679535786929803e-06,-2.7591139903746965e-10,False
28,A,102.00002463105182,1.7583846850375569e-10,False,Bulk ,3.854137062745018e-06,-2.671847262549932e-10,False
29,A,101.00001430735834,1.1534286363152189e-10,False,Bulk ,4.860938156301536e-06,-1.155510502474089e-10,False
30,A,100.00000398366487,8.330840343493088e-11,False,Bulk ,2.3719021194548023e-06,-1.6778730434961206e-10,False
31,A,98.99997511860003,6.83255541453343e-11,False,Bulk ,6.939002968608943e-07,-3.088375686848156e-11,False
32,A,97.99999260696364,5.1399322730302674e-11,False,Bulk ,-2.849340996523633e-07,-8.800942338072675e-11,False
33,A,97.00000082464155,4.243468905493729e-11,False,Bulk ,-1.711235648856925e-06,1.2563933154914148e-11,False
34,A,95.99998123026239,1.3910854633314753e-11,False,Bulk ,1.0659965895328666e-07,-5.762079688288019e-11,False
35,A,95.00000798931167,3.1150534778251744e-11,False,Bulk ,1.8685015726761095e-06,1.7639019453945953e-11,False
36,A,93.99996985356114,1.5854236758743196e-11,False,Bulk ,-4.247675848686669e-07,-4.951303706369749e-11,False
37,A,93.00002442466749,7.014982575340619e-12,False,Bulk ,-8.163013434734495e-07,3.1874017609758154e-11,False
38,A,92.00002337165971,-4.526826557330463e-11,False,Bulk ,5.1965385208197976e-06,-6.808042596258901e-11,False
39,A,91.00002231865194,-7.717107730333651e-12,False,Bulk ,6.37113979663588e-06,-6.189129632937371e-13,False
40,A,90.00000272427278,-2.0819264640484837e-11,False,Bulk ,4.357537609523711e-06,-9.865472634942205e-11,False
