,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,129.99998922046979,4.6428752448119587e-07,False,Bulk ,-1.6002217837945802e-05,-4.6426610952686586e-07,False
1,A,129.0000623329475,3.3613532774300135e-07,False,Bulk ,-9.961411276609294e-06,-3.3618566146789267e-07,False
2,A,127.99998711445424,2.437784744423254e-07,False,Bulk ,-2.1866694985914897e-06,-2.437562711597848e-07,False
3,A,127.0000231441892,1.767792472527257e-07,False,Bulk ,1.3456635599568e-07,-1.7684361017634395e-07,False
4,A,126.00001282049574,1.2801590296145594e-07,False,Bulk ,5.820335086878514e-07,-1.2799639967855753e-07,False
5,A,124.9999839554309,9.243132244992747e-08,False,Bulk ,-1.151901707992578e-06,-9.248527814869355e-08,False
6,A,123.99999217310881,6.648353507018057e-08,False,Bulk ,1.0659965895328666e-07,-6.642310082947351e-08,False
7,A,122.99998184941535,4.7533239826644454e-08,False,Bulk ,5.540668116437233e-07,-4.757398274969335e-08,False
8,A,121.99999006709325,3.379503275376349e-08,False,Bulk ,-7.883346464310562e-07,-3.374864308428524e-08,False
9,A,121.00005390888528,2.3849116484546694e-08,False,Bulk ,-1.7671690429434464e-06,-2.3887626622678644e-08,False
10,A,120.00000650244907,1.668568459072266e-08,False,Bulk ,1.6168012992876304e-06,-1.6643312278592292e-08,False
11,A,118.99998690806991,1.156330544656715e-08,False,Bulk ,3.015136151448064e-06,-1.1617243886256054e-08,False
12,A,118.00000439643352,7.956262842278572e-09,False,Bulk ,-7.883346464310562e-07,-7.90890308407387e-09,False
13,A,116.99998480205436,5.4113099144100495e-09,False,Bulk ,-5.925677671282312e-07,-5.453799141270282e-09,False
14,A,116.00000229041795,3.641703764841797e-09,False,Bulk ,-1.263768496165621e-06,-3.5992883380493807e-09,False
15,A,115.00001050809585,2.4183760617571023e-09,False,Bulk ,3.294803121880671e-06,-2.466182484846591e-09,False
16,A,114.00001872577377,1.588990722420698e-09,False,Bulk ,-7.603679493869281e-07,-1.5490772558341993e-09,False
17,A,112.99998059002324,1.0351895064193565e-09,False,Bulk ,2.28800202832502e-06,-1.072885621874059e-09,False
18,A,112.00004443181528,6.623108973208723e-10,False,Bulk ,1.2252675406819805e-06,-6.229358975576792e-10,False
19,A,110.99999702537906,4.1744474951679254e-10,False,Bulk ,-5.646010700841031e-07,-4.616471793226762e-10,False
20,A,110.00001451374266,2.551409971704632e-10,False,Bulk ,3.9100704568315395e-06,-2.2936914419759202e-10,False
21,A,109.00002273142057,1.59789893532467e-10,False,Bulk ,-3.109570501018226e-06,-2.072120601115869e-10,False
22,A,108.00003094909847,1.0888581979541922e-10,False,Bulk ,-9.281681316464924e-07,-6.523342633142459e-11,False
23,A,107.00001135471932,6.08654743735259e-11,False,Bulk ,-1.459535375468446e-06,-1.0243009542552873e-10,False
24,A,106.00001030171155,3.923751200987749e-11,False,Bulk ,-2.7739701364999647e-06,-7.426955559557932e-13,False
25,A,104.9999814366467,2.1559003643069027e-11,False,Bulk ,1.8685015726761095e-06,-6.746151299929197e-11,False
26,A,104.000008195696,2.1935142118957443e-11,False,Bulk ,-2.290007055658419e-07,1.999088871446877e-11,False
27,A,103.00001641337391,1.422430336322342e-11,False,Bulk ,-1.9909026192886647e-06,-5.1926797620554645e-11,False
28,A,101.99997827762338,4.8835312119663144e-12,False,Bulk ,6.939002968608943e-07,2.5746779273125342e-11,False
29,A,101.00000503667266,-4.2064819553651815e-12,False,Bulk ,-8.722347375608383e-07,-4.907979798939022e-11,False
30,A,99.99998544229351,2.5640106106461477e-12,False,Bulk ,-5.346906264476481e-06,4.227175539313595e-11,False
31,A,99.0000029306571,-4.582620431253597e-12,False,Bulk ,-5.646010700841031e-07,-5.526892762235406e-11,False
32,A,98.00000187764932,-1.316484665624343e-13,False,Bulk ,-1.543435466598228e-06,3.5463712796875064e-11,False
33,A,97.00001936601292,-8.212356723595169e-13,False,Bulk ,1.812568178589588e-06,-4.493308113530729e-11,False
34,A,95.99999977163377,1.027484936638017e-11,False,Bulk ,-2.4104030749375754e-06,3.472101724091927e-11,False
35,A,94.99999871862597,8.713874691433154e-13,False,Bulk ,-7.603679493869281e-07,-4.09101468738798e-11,False
36,A,94.00001620698959,1.8180026334623287e-13,False,Bulk ,-2.158702801548229e-06,3.8558277613356984e-11,False
37,A,93.00001515398179,-2.8899972897507646e-12,False,Bulk ,1.4210344199848055e-06,-3.8186929835377433e-11,False
38,A,92.00000483028833,-4.2064819553651815e-12,False,Bulk ,1.1413674495521983e-06,3.472101724091927e-11,False
39,A,91.00002231865194,2.877459340554815e-12,False,Bulk ,5.028738338561101e-06,-4.313823354174718e-11,False
40,A,89.99998418290141,6.889603083374505e-12,False,Bulk ,3.4346366070969747e-06,3.379264779597701e-11,False
