,shot_x,shot_y,dut,r,c,cap,D,x,y,Voltage,Current
42,-2,-1,POC22_Main_381_77F,1,1,+5.34951E-11,+1.96747E-02,48,243,100.00001325435056,1.2719749459663142e-11
43,-2,-1,POC22_Main_508_44,1,1,+3.55451E-11,+3.99189E-02,48,263,100.00001325435056,2.444900093292898e-13
44,-2,-1,POC22_Main_508_47,1,1,+5.72102E-11,+7.08789E-03,48,269,99.99996690092212,-6.024484588830819e-12
45,-2,-1,POC22_Main_508_88F,1,1,+1.24125E-10,+9.77292E-03,48,251,100.00000398366488,-3.0661554759593164e-11
46,-2,-1,POC22_Main_762_77,1,1,+2.21443E-10,+3.78797E-02,48,241,100.00003179572194,5.385049179817535e-12
47,-2,-1,POC22_Main_762_99F,1,1,+3.59676E-10,+3.48640E-02,48,235,99.99998544229352,1.340244079340361e-10
48,-2,-2,POC22_Main_381_77F,1,1,+5.28863E-11,+1.76163E-02,48,279,99.99998544229352,-2.6392383058251547e-12
49,-2,-2,POC22_Main_508_44,1,1,+3.52370E-11,+1.23140E-02,48,299,99.99996690092212,2.0624926427949272e-12
50,-2,-2,POC22_Main_508_47,1,1,+5.65346E-11,+1.36274E-02,48,305,100.00002252503624,-2.3201474987784752e-11
51,-2,-2,POC22_Main_508_88F,1,1,+1.22914E-10,+1.89532E-02,48,287,100.00000398366488,3.6855301662577575e-11
52,-2,-2,POC22_Main_762_77,1,1,+2.16670E-10,+1.20692E-01,48,277,99.99998544229352,7.597370315508527e-11
53,-2,-2,POC22_Main_762_99F,1,1,+3.54015E-10,+9.43502E-02,48,271,99.99997617160784,1.7098565526731992e-09
54,-2,-3,POC22_Main_381_77F,1,1,+5.26311E-11,+1.55744E-02,48,315,100.00002252503624,1.0086780128437616e-11
55,-2,-3,POC22_Main_508_44,1,1,+3.55305E-11,+1.02055E-02,48,335,99.99998544229352,2.2311280594845855e-11
56,-2,-3,POC22_Main_508_47,1,1,+5.72401E-11,+1.24516E-02,48,341,100.00000398366488,1.4349682855186226e-11
57,-2,-3,POC22_Main_508_88F,1,1,+1.22461E-10,+4.39717E-02,48,323,100.00002252503624,3.9112132517911376e-11
58,-2,-3,POC22_Main_762_77,1,1,+2.17710E-10,+5.22629E-02,48,313,99.99997617160784,1.214864587377192e-10
59,-2,-3,POC22_Main_762_99F,1,1,+3.51865E-10,+5.38225E-02,48,307,99.99995763023644,1.678887818158294e-09
60,-2,0,POC22_Main_381_77F,1,1,-2.98568E-11,+3.39328E+01,48,207,0.6512663299466692,1.0000036264232952e-06
61,-2,0,POC22_Main_508_44,1,1,+3.58041E-11,+7.24491E-03,48,227,99.99997617160784,4.758151720003509e-12
62,-2,0,POC22_Main_508_47,1,1,+5.76445E-11,+1.27769E-02,48,233,100.00001325435056,-6.52600255668204e-12
63,-2,0,POC22_Main_508_88F,1,1,+1.24954E-10,+1.30217E-02,48,215,100.00000398366488,7.265741559266229e-12
64,-2,0,POC22_Main_762_77,1,1,+2.22784E-10,+3.26344E-02,48,205,100.00001325435056,1.2154914848369894e-10
65,-2,0,POC22_Main_762_99F,1,1,+3.61122E-10,+3.54500E-02,48,199,99.9999947129792,2.373866342110174e-09
66,-2,1,POC22_Main_381_77F,1,1,+5.36621E-11,+1.39464E-02,48,171,100.00000398366488,-5.648346112942404e-12
67,-2,1,POC22_Main_508_44,1,1,+3.58968E-11,+8.02186E-03,48,191,100.00000398366488,-5.704766884339066e-13
68,-2,1,POC22_Main_508_47,1,1,+5.78828E-11,+1.35863E-02,48,197,100.00001325435056,-2.263099829936739e-12
69,-2,1,POC22_Main_508_88F,1,1,+1.24969E-10,+1.37708E-02,48,179,99.99998544229352,-1.3854433861904856e-12
70,-2,1,POC22_Main_762_77,1,1,+2.22194E-10,+2.54901E-02,48,169,100.00000398366488,1.2687777689213305e-10
71,-2,1,POC22_Main_762_99F,1,1,+3.59954E-10,+3.59483E-02,48,163,100.00001325435056,1.3878820173117663e-09
72,-2,2,POC22_Main_381_77F,1,1,+5.31833E-11,+1.91847E-02,48,135,100.00000398366488,-1.7120569627570506e-11
73,-2,2,POC22_Main_508_44,1,1,+3.56614E-11,+1.24654E-02,48,155,100.00001325435056,1.0462918604326032e-11
74,-2,2,POC22_Main_508_47,1,1,+5.75707E-11,+1.19931E-02,48,161,100.00000398366488,1.0337539112363228e-11
75,-2,2,POC22_Main_508_88F,1,1,+1.24057E-10,+1.69592E-02,48,143,100.00000398366488,3.898675302595188e-11
76,-2,2,POC22_Main_762_77,1,1,+2.20428E-10,+2.99017E-02,48,133,99.99998544229352,-2.395375193956489e-11
77,-2,2,POC22_Main_762_99F,1,1,+3.57051E-10,+5.48227E-02,48,127,99.99997617160784,4.68724961729732e-10
78,-2,3,POC22_Main_381_77F,1,1,+5.36870E-11,+1.57436E-02,48,99,100.00002252503624,3.0899775794326133e-11
79,-2,3,POC22_Main_508_44,1,1,+3.56651E-11,+9.43597E-03,48,119,100.00001325435056,1.811733658869317e-12
80,-2,3,POC22_Main_508_47,1,1,+5.72663E-11,+3.51525E-02,48,125,99.9999947129792,1.1403264794052032e-11
81,-2,3,POC22_Main_508_88F,1,1,+1.24624E-10,+1.68887E-02,48,107,100.00002252503624,1.4412372601165974e-11
82,-2,3,POC22_Main_762_77,1,1,+2.22442E-10,+2.94477E-02,48,97,100.00002252503624,4.556917635401735e-11
83,-2,3,POC22_Main_762_99F,1,1,+3.60732E-10,+6.25707E-02,48,91,100.00004106640765,2.5921583065926594e-10
84,-3,-1,POC22_Main_381_77F,1,1,+5.30946E-11,+8.50481E-03,-1,243,100.00002252503624,6.833182312007621e-13
85,-3,-1,POC22_Main_508_44,1,1,+3.54685E-11,+7.09878E-03,-1,263,99.99997617160784,-1.0851595029413706e-11
86,-3,-1,POC22_Main_508_47,1,1,+5.70534E-11,+1.08800E-02,-1,269,100.00002252503624,1.4788511077057698e-11
87,-3,-1,POC22_Main_508_88F,1,1,+1.23389E-10,+1.17625E-02,-1,251,100.00000398366488,2.0305208723437667e-11
88,-3,-1,POC22_Main_762_77,1,1,+2.19692E-10,+3.27749E-02,-1,241,100.00001325435056,8.644289073401093e-11
89,-3,-1,POC22_Main_762_99F,1,1,+3.55813E-10,+3.65322E-02,-1,235,100.00001325435056,6.77293746610472e-10
90,-3,-2,POC22_Main_381_77F,1,1,+5.31910E-11,+1.04197E-02,-1,279,99.99997617160784,2.1308244659140108e-11
91,-3,-2,POC22_Main_508_44,1,1,+3.57708E-11,+1.04779E-02,-1,299,99.9999947129792,1.680454434910375e-08
92,-3,-2,POC22_Main_508_47,1,1,+5.35440E-11,+2.71706E-01,-1,305,99.99998544229352,1.586313243369825e-08
93,-3,-2,POC22_Main_508_88F,1,1,+1.23610E-10,+4.78050E-02,-1,287,100.00000398366488,3.02728783345088e-11
94,-3,-2,POC22_Main_762_77,1,1,+2.20009E-10,+3.62354E-02,-1,277,100.00000398366488,8.224267775324538e-11
95,-3,-2,POC22_Main_762_99F,1,1,+3.55841E-10,+4.50704E-02,-1,271,100.00000398366488,7.616741447016915e-10
96,-3,0,POC22_Main_381_77F,1,1,+5.22754E-11,+1.03807E-02,-1,207,1.781186772173124,1.0000025606976133e-06
97,-3,0,POC22_Main_508_44,1,1,+3.54850E-11,+6.79732E-03,-1,227,100.00000398366488,-1.0099318077633566e-11
98,-3,0,POC22_Main_508_47,1,1,+5.70516E-11,+6.90850E-03,-1,233,100.00004106640765,1.579154701276014e-11
99,-3,0,POC22_Main_508_88F,1,1,+1.23273E-10,+8.75950E-03,-1,215,100.00002252503624,-1.3923392582510705e-11
100,-3,0,POC22_Main_762_77,1,1,+2.19960E-10,+2.22662E-02,-1,205,100.00002252503624,2.1621693389048772e-11
101,-3,0,POC22_Main_762_99F,1,1,+3.56545E-10,+2.58093E-02,-1,199,99.9999947129792,2.6429370008377444e-10
102,-3,1,POC22_Main_381_77F,1,1,+5.34955E-11,+8.91183E-03,-1,171,100.00002252503624,-3.893033225456514e-12
