,shot_x,shot_y,dut,r,c,cap,D,Voltage,Current
223,0,-3,POC22_Main_762_77,1,1,2.20E-10,1.83E-02,100.0000225,2.37E-10
224,0,-3,POC22_Main_762_99F,1,1,3.57E-10,2.13E-02,99.99997617,5.14E-09
225,0,-4,POC22_Main_381_77F,1,1,5.26E-11,9.07E-03,99.99999471,4.63E-12
226,0,-4,POC22_Main_508_44,1,1,3.55E-11,7.65E-03,100.0000133,1.13E-11
227,0,-4,POC22_Main_508_47,1,1,5.73E-11,8.35E-03,99.99998544,1.98E-10
228,0,-4,POC22_Main_508_88F,1,1,1.24E-10,1.83E-02,100.000004,-1.08E-11
229,0,-4,POC22_Main_508_88F,1,2,1.24E-10,1.59E-02,99.99997617,1.31E-10
230,0,-4,POC22_Main_508_88F,1,3,1.24E-10,1.66E-02,100.0000225,3.48E-11
231,0,-4,POC22_Main_508_88F,1,4,1.24E-10,1.92E-02,100.000004,1.45E-10
232,0,-4,POC22_Main_762_77,1,1,2.18E-10,2.30E-02,99.99998544,1.36E-10
233,0,-4,POC22_Main_762_99F,1,1,3.51E-10,3.73E-02,100.0000133,2.35E-09
234,0,0,POC22_Main_381_77F,1,1,5.36E-11,2.75E-02,1.194268932,1.00E-06
235,0,0,POC22_Main_508_44,1,1,3.60E-11,7.76E-03,100.0000133,1.19E-13
236,0,0,POC22_Main_508_47,1,1,5.81E-11,1.00E-02,99.99998544,-1.95E-12
237,0,0,POC22_Main_508_88F,1,1,1.30E-10,1.85E-02,17.11147074,1.00E-06
238,0,0,POC22_Main_508_88F,1,2,1.32E-10,1.36E-02,3.788188246,1.00E-06
239,0,0,POC22_Main_508_88F,1,3,1.33E-10,1.39E-02,99.99999471,1.21E-11
240,0,0,POC22_Main_508_88F,1,4,1.33E-10,1.39E-02,99.99997617,8.71E-12
241,0,0,POC22_Main_762_77,1,1,2.26E-10,2.40E-02,100.0000225,-5.34E-11
242,0,0,POC22_Main_762_99F,1,1,3.70E-10,3.29E-02,99.99999471,-8.31E-11
243,0,1,POC22_Main_381_77F,1,1,5.40E-11,9.17E-03,100.0000596,-2.54E-11
244,0,1,POC22_Main_508_44,1,1,3.60E-11,9.14E-03,99.99998544,4.26E-12
245,0,1,POC22_Main_508_47,1,1,5.80E-11,9.92E-03,99.99998544,1.47E-11
246,0,1,POC22_Main_508_88F,1,1,1.32E-10,1.37E-02,99.99997617,3.69E-12
