File,Voltage,Current
-1_-1_POC22_Main_381_77F_1_1_reversed.csv,99.99998544229352,4.820841465986566e-12
-1_-1_POC22_Main_508_44_1_1_reversed.csv,99.99996690092212,5.761187655709259e-12
-1_-1_POC22_Main_508_47_1_1_reversed.csv,99.99994835955076,7.140362067303424e-12
-1_-1_POC22_Main_508_88F_1_1_reversed.csv,100.00001325435056,-2.7019280518082112e-12
-1_-1_POC22_Main_508_88F_1_2_reversed.csv,100.00002252503624,3.8390573541664456e-10
-1_-1_POC22_Main_508_88F_1_3_reversed.csv,100.00002252503624,1.9803063858123503e-10
-1_-1_POC22_Main_508_88F_1_4_reversed.csv,100.00000398366488,3.4547692112993064e-10
-1_-1_POC22_Main_762_77_1_1_reversed.csv,100.00005033709331,1.8208800928065926e-09
-1_-1_POC22_Main_762_99F_1_1_reversed.csv,100.00001325435056,2.5998371735779443e-08
-1_-2_POC22_Main_381_77F_1_1_reversed.csv,100.00000398366488,4.193944006169232e-12
-1_-2_POC22_Main_508_44_1_1_reversed.csv,99.99998544229352,2.0624926427949272e-12
-1_-2_POC22_Main_508_47_1_1_reversed.csv,100.00000398366488,-1.3854433861904856e-12
-1_-2_POC22_Main_508_88F_1_1_reversed.csv,99.99996690092212,2.5383078147946164e-11
-1_-2_POC22_Main_508_88F_1_2_reversed.csv,99.9999947129792,3.145708763610082e-10
-1_-2_POC22_Main_508_88F_1_3_reversed.csv,100.00003179572194,1.7690419418544118e-10
-1_-2_POC22_Main_508_88F_1_4_reversed.csv,99.9999947129792,2.44483740353595e-10
-1_-2_POC22_Main_762_77_1_1_reversed.csv,100.00000398366488,1.019893208399848e-09
-1_-2_POC22_Main_762_99F_1_1_reversed.csv,99.99996690092212,2.08716669991512e-08
-1_-3_POC22_Main_381_77F_1_1_reversed.csv,99.99996690092212,4.952489932549002e-13
-1_-3_POC22_Main_508_44_1_1_reversed.csv,99.99997617160784,1.1654023777977644e-11
-1_-3_POC22_Main_508_47_1_1_reversed.csv,99.99996690092212,-4.143792209382125e-12
-1_-3_POC22_Main_508_88F_1_1_reversed.csv,99.99996690092212,-2.6900170000699084e-11
-1_-3_POC22_Main_508_88F_1_2_reversed.csv,99.9999947129792,2.0956555184184955e-10
-1_-3_POC22_Main_508_88F_1_3_reversed.csv,99.99998544229352,1.0443484783072805e-10
-1_-3_POC22_Main_508_88F_1_4_reversed.csv,99.99997617160784,1.9044517931746715e-10
-1_-3_POC22_Main_762_77_1_1_reversed.csv,100.00000398366488,4.3399484245593245e-10
-1_-3_POC22_Main_762_99F_1_1_reversed.csv,100.00004106640765,7.744622259844733e-09
-1_0_POC22_Main_381_77F_1_1_reversed.csv,99.9999947129792,-1.6932500389627952e-11
-1_0_POC22_Main_508_44_1_1_reversed.csv,100.00000398366488,-2.1571541592264977e-11
-1_0_POC22_Main_508_47_1_1_reversed.csv,100.00000398366488,8.018018511046369e-12
-1_0_POC22_Main_508_88F_1_1_reversed.csv,99.99997617160784,1.7609549646229085e-11
-1_0_POC22_Main_508_88F_1_2_reversed.csv,99.99998544229352,3.392079465317705e-10
-1_0_POC22_Main_508_88F_1_3_reversed.csv,99.99998544229352,1.6342589879940158e-10
-1_0_POC22_Main_508_88F_1_4_reversed.csv,99.99998544229352,2.9777002443794267e-10
-1_0_POC22_Main_762_77_1_1_reversed.csv,99.9999947129792,1.5138257169887763e-09
-1_0_POC22_Main_762_99F_1_1_reversed.csv,100.00000398366488,2.4577947471328628e-08
-1_1_POC22_Main_381_77F_1_1_reversed.csv,99.99998544229352,1.898872405782325e-11
-1_1_POC22_Main_508_44_1_1_reversed.csv,99.99998544229352,1.3033198189571807e-11
-1_1_POC22_Main_508_47_1_1_reversed.csv,99.99998544229352,2.564010610646148e-12
-1_1_POC22_Main_508_88F_1_1_reversed.csv,100.00003179572194,5.867133326416853e-11
-1_1_POC22_Main_508_88F_1_2_reversed.csv,100.00002252503624,2.705626746819345e-10
-1_1_POC22_Main_508_88F_1_3_reversed.csv,99.99998544229352,1.3916496710452763e-10
-1_1_POC22_Main_508_88F_1_4_reversed.csv,99.9999947129792,2.3520565794831757e-10
-1_1_POC22_Main_762_77_1_1_reversed.csv,99.9999947129792,1.0514261506285878e-09
-1_1_POC22_Main_762_99F_1_1_reversed.csv,100.00000398366488,1.0772160852279516e-08
-1_2_POC22_Main_381_77F_1_1_reversed.csv,100.00001325435056,1.3660095649389143e-11
-1_2_POC22_Main_508_44_1_1_reversed.csv,99.9999947129792,1.1215195556106171e-11
-1_2_POC22_Main_508_47_1_1_reversed.csv,100.00001325435056,9.02105444675212e-12
-1_2_POC22_Main_508_88F_1_1_reversed.csv,100.00000398366488,-2.0693885148522032e-11
-1_2_POC22_Main_508_88F_1_2_reversed.csv,100.00002252503624,1.3628123878937318e-10
-1_2_POC22_Main_508_88F_1_3_reversed.csv,99.99996690092212,7.559756467919686e-11
-1_2_POC22_Main_508_88F_1_4_reversed.csv,100.00002252503624,1.5239250350664164e-10
-1_2_POC22_Main_762_77_1_1_reversed.csv,100.00000398366488,1.2687777689213305e-10
-1_2_POC22_Main_762_99F_1_1_reversed.csv,100.00001325435056,1.2750404745449075e-09
-1_3_POC22_Main_381_77F_1_1_reversed.csv,99.9999947129792,1.2475259450350397e-12
-1_3_POC22_Main_508_44_1_1_reversed.csv,100.00001325435056,1.0594567070891777e-12
-1_3_POC22_Main_508_47_1_1_reversed.csv,100.00001325435056,-1.3045736138767758e-11
-1_3_POC22_Main_508_88F_1_1_reversed.csv,100.00000398366488,1.6167685488651863e-11
